Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
116840,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN5",42.75220108,-80.08360291,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116841,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN7",42.75780106,-80.07640076,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116842,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN8",42.75830078,-80.06809998,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116843,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN9",42.77000046,-80.05970001,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116830,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Shoal buoy EA8",42.72829819,-80.06060028,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116860,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Port Colborne buoy E",42.82310104,-79.28279877,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116861,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Port Colborne buoy E3",42.86169815,-79.25330353,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116831,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET1",42.77080154,-80.07189941,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116833,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET11",42.7696991,-80.07689667,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116834,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET12",42.7818985,-80.07279968,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
