YEAR,STATE_DESCRIPTION,STATE_CODE,NAICS_CODE,INDUSTRY,BUSINESS_CLASSIFICATION_S,ANNUAL_PAYROLL_S,EMPLOYMENT_S,AVG_SALARY_S,BUSINESS_CLASSIFICATION_B,ANNUAL_PAYROLL_B,EMPLOYMENT_B,AVG_SALARY_B
2008,New Jersey,NJ,22,Utilities,Small Business,102934000,1286,80041.99066874028,Large Business,1655337000.0,16479.0,100451.30165665393
2008,New Jersey,NJ,23,Construction,Small Business,16841648000,307458,54777.06873784387,Large Business,1373265000.0,18275.0,75144.45964432285
2008,New Jersey,NJ,31-33,Manufacturing,Small Business,16048660000,342034,46921.241747896405,Large Business,7870397000.0,113477.0,69356.75951955022
2008,New Jersey,NJ,42,Wholesale Trade,Small Business,18975540000,316820,59893.75670727858,Large Business,10295170000.0,112069.0,91864.56558013367
2008,New Jersey,NJ,44-45,Retail Trade,Small Business,10883380000,342830,31745.704868302073,Large Business,6944449000.0,293303.0,23676.706341223922
2008,New Hampshire,NH,56,Administrative and Support and Waste Management and Remediation Services,Small Business,1195828000,34416,34746.28079962808,Large Business,1020804000.0,26709.0,38219.476580927774
2008,Pennsylvania,PA,44-45,Retail Trade,Small Business,14107182000,552342,25540.66502275764,Large Business,8195302000.0,400640.0,20455.526158146964
2008,Pennsylvania,PA,48-49,Transportation and Warehousing,Small Business,4548172000,148898,30545.554675012423,Large Business,5058906000.0,134879.0,37506.99515862366
2008,Pennsylvania,PA,51,Information,Small Business,3195236000,65710,48626.32780398722,Large Business,6299510000.0,95407.0,66027.75477690317
2008,Virginia,VA,51,Information,Small Business,3384554000,53862,62837.5106754298,Large Business,6023472000.0,76825.0,78405.10250569475
2008,Virginia,VA,52,Finance and Insurance,Small Business,4991010000,90072,55411.337596589394,Large Business,8119074000.0,122420.0,66321.4670805424
2008,Virginia,VA,53,Real Estate and Rental and Leasing,Small Business,3039108000,74348,40876.79560983483,Large Business,884140000.0,21772.0,40609.03913283116
2008,Virginia,VA,54,"Professional, Scientific, and Technical Services",Small Business,28168812000,402950,69906.46978533317,Large Business,16560257000.0,191009.0,86698.83094513872
2008,Virginia,VA,55,Management of Companies and Enterprises,Small Business,1121902000,16262,68989.1772229738,Large Business,4416323000.0,49584.0,89067.50161342368
2008,Virginia,VA,56,Administrative and Support and Waste Management and Remediation Services,Small Business,6519334000,213260,30569.88652349245,Large Business,5838449000.0,147439.0,39599.0816541078
2008,Virginia,VA,61,Educational Services,Small Business,2289728000,77708,29465.795027538992,Large Business,842692000.0,27078.0,31120.90996380826
2008,Virginia,VA,62,Health Care and Social Assistance,Small Business,15056286000,370208,40669.80184112715,Large Business,8770530000.0,195160.0,44940.20291043247
2008,Virginia,VA,71,"Arts, Entertainment, and Recreation",Small Business,1422144000,63030,22562.970014278915,Large Business,549238000.0,20630.0,26623.267086766846
2008,Virginia,VA,72,Accommodation and Food Services,Small Business,4717550000,338368,13942.06898997541,Large Business,2173403000.0,142885.0,15210.854883297758
2008,Virginia,VA,81,Other Services (except Public Administration),Small Business,8641892000,283104,30525.50299536566,Large Business,881149000.0,24682.0,35700.06482456851
2008,Washington,WA,11,"Agriculture, Forestry, Fishing and Hunting",Small Business,875188000,20790,42096.5848965849,Large Business,137559000.0,3832.0,35897.44258872652
2008,Washington,WA,21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,248752000,4012,62001.99401794616,Large Business,100724000.0,1292.0,77959.75232198142
2008,Washington,WA,23,Construction,Small Business,16014590000,342774,46720.55056684579,Large Business,2001448000.0,27172.0,73658.47195642574
2008,Washington,WA,31-33,Manufacturing,Small Business,10737438000,244196,43970.572818555585,Large Business,8038549000.0,131004.0,61361.095844401694
2008,Washington,WA,42,Wholesale Trade,Small Business,8240984000,165640,49752.3786524994,Large Business,3577896000.0,55156.0,64868.66342736964
2008,Washington,WA,44-45,Retail Trade,Small Business,8140974000,287176,28348.378694598436,Large Business,4630255000.0,188461.0,24568.770196486275
2008,Washington,WA,48-49,Transportation and Warehousing,Small Business,2887896000,73398,39345.704242622414,Large Business,2465562000.0,52944.0,46569.24297370807
2008,Washington,WA,51,Information,Small Business,3370454000,49762,67731.48185362325,Large Business,10155845000.0,92861.0,109366.09556218435
2008,Washington,WA,52,Finance and Insurance,Small Business,4586116000,83224,55105.69066615399,Large Business,5409927000.0,70459.0,76781.20609148583
2008,Washington,WA,53,Real Estate and Rental and Leasing,Small Business,2566826000,73744,34807.25211542634,Large Business,610857000.0,15192.0,40209.123222748814
2008,Washington,WA,54,"Professional, Scientific, and Technical Services",Small Business,13711320000,221054,62027.016023234144,Large Business,4242248000.0,53243.0,79677.10309336439
2008,Washington,WA,55,Management of Companies and Enterprises,Small Business,1056921000,16055,65831.2675179072,Large Business,5315938000.0,53854.0,98710.17937386267
2008,Washington,WA,56,Administrative and Support and Waste Management and Remediation Services,Small Business,4346848000,143420,30308.52042950774,Large Business,4608560000.0,101499.0,45404.979359402554
2008,Washington,WA,61,Educational Services,Small Business,1462062000,56032,26093.33952027413,Large Business,519154000.0,21765.0,23852.699287847463
2008,Virginia,VA,48-49,Transportation and Warehousing,Small Business,2584784000,73712,35065.986542218365,Large Business,2559674000.0,60975.0,41979.07339073391
2008,Washington,WA,62,Health Care and Social Assistance,Small Business,13429888000,359156,37392.91004466026,Large Business,8487166000.0,173784.0,48837.44188187635
2008,Virginia,VA,44-45,Retail Trade,Small Business,8052226000,297908,27029.237214173503,Large Business,5867960000.0,284628.0,20616.24295571764
2008,Virginia,VA,31-33,Manufacturing,Small Business,7657746000,197938,38687.599147207715,Large Business,8847433000.0,178263.0,49631.34806437679
2008,Utah,UT,72,Accommodation and Food Services,Small Business,1506370000,123062,12240.740439778323,Large Business,512270000.0,35096.0,14596.250284932756
2008,Utah,UT,81,Other Services (except Public Administration),Small Business,1275926000,52770,24179.003221527382,Large Business,766914000.0,22096.0,34708.272990586534
2008,Vermont,VT,31-33,Manufacturing,Small Business,1492060000,36642,40719.93886796572,Large Business,920573000.0,18179.0,50639.36410143572
2008,Vermont,VT,42,Wholesale Trade,Small Business,749176000,16872,44403.508771929824,Large Business,134073000.0,2643.0,50727.58229284904
