"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"283038","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Kapoho Kalapana Rd just SW of Isaac Hale Park]","19.4555","-154.84778","reported","Accurate","Hawaii","20010000","2009","7","14","established","survey site a123.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283160","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Kapoho Kalapana Rd just South of Ahalanui Park]","19.46398","-154.837","reported","Accurate","Hawaii","20010000","2009","7","19","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283164","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Stainback Hwy just beyond the NE edge of Waiakea Forest Reserve]","19.6441","-155.07776","reported","Accurate","Hawaii","20010000","2009","5","21","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283154","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Private Residence near Hiona St and Ohana Rd","19.65342","-155.959","reported","Accurate","Hawaii","20010000","2009","6","2","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283151","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Coffee Plantation on Mamalahoa Hwy just North of Hualalai Rd","19.61401","-155.94972","reported","Accurate","Hawaii","20010000","2009","6","16","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283152","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Botanical Garden on E Kawili St at Kilauea Ave","19.70378","-155.07256","reported","Accurate","Hawaii","20010000","2009","6","23","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283128","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Stainback Hwy inside Waiakea Forest Reserve]","19.62486","-155.09998","reported","Accurate","Hawaii","20010000","2009","7","13","established","survey site a059.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"282989","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Stainback Hwy just NE of N Kulani Rd in Waiakea Forest Reserve]","19.60126","-155.13393","reported","Accurate","Hawaii","20010000","2009","7","13","established","survey site a061.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283011","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Shower Dr at Nanialii Ave]","19.59288","-154.99927","reported","Accurate","Hawaii","20010000","2009","7","13","established","survey site a106c.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283048","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Kapoho Kalapana Rd at Opihakao Dr]","19.42719","-154.88007","reported","Accurate","Hawaii","20010000","2009","7","13","established","survey site a126.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283052","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Kapoho Kalapana Rd just S of Lava Ln]","19.40969","-154.90354","reported","Accurate","Hawaii","20010000","2009","7","13","established","survey site a128.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283073","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Mamalahoa Hwy just North of Hookena Beach Rd]","19.38594","-155.87822","reported","Accurate","Hawaii","20010000","2009","7","8","established","survey site a222.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
