,Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Drainage Name,Year,Month,Day,cluster
60,116921,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D43",0.7875309559179183,-1.2994744070634356,Raisin River-St. Lawrence River,1992,12.0,,0
61,116920,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D44",0.7874733651140573,-1.2996158209698152,Raisin River-St. Lawrence River,1992,12.0,,0
62,116919,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D47",0.7872639074523937,-1.2999073038703348,Raisin River-St. Lawrence River,1992,12.0,,0
63,116918,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D48",0.7872447327416325,-1.29999452233638,Raisin River-St. Lawrence River,1992,12.0,,0
64,116917,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D49",0.787176622314771,-1.3000033107672955,Raisin River-St. Lawrence River,1992,12.0,,0
65,116929,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D34",0.78766185037583,-1.2989228664391776,Raisin River-St. Lawrence River,1992,12.0,,0
66,116930,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D34/2",0.7876286940069641,-1.2990433744427108,Raisin River-St. Lawrence River,1992,12.0,,0
67,116928,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D35",0.7876042593974363,-1.2989176732119883,Raisin River-St. Lawrence River,1992,12.0,,0
68,116927,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D36",0.787618241055541,-1.2991026297670796,Raisin River-St. Lawrence River,1992,12.0,,0
69,116926,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D37",0.787593806620546,-1.2991026297670796,Raisin River-St. Lawrence River,1992,12.0,,0
70,116925,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D38",0.7876095192962029,-1.299280662077429,Raisin River-St. Lawrence River,1992,12.0,,0
71,116924,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D39",0.7875902779138644,-1.2992911815258967,Raisin River-St. Lawrence River,1992,12.0,,0
72,116923,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), South Gully buoy D40",0.7876042593974363,-1.299411556360808,Raisin River-St. Lawrence River,1992,12.0,,0
73,116916,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Squaw Island buoy D53",0.7869200932977142,-1.300193460549576,Raisin River-St. Lawrence River,1992,12.0,,0
74,116915,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Squaw Island buoy D54",0.7868921968276149,-1.3002808121842433,Raisin River-St. Lawrence River,1992,12.0,,0
75,116911,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), St. Francis Island buoy D57",0.7866059069797517,-1.3006489942768733,Raisin River-St. Lawrence River,1992,12.0,,0
76,116909,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), St. Francis Island buoy D58",0.7866303414147469,-1.300662975760445,Raisin River-St. Lawrence River,1992,12.0,,0
77,116872,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Main Channel), Bay State Shoal buoy 152",0.7769908966826284,-1.3223783912862241,Headwaters St. Lawrence River,1992,12.0,,0
